% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 55.70 s, time offset 27.85 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2022-09-09 T 13:04:18 -0400
% Time (s), Channel A (V), Channel B (V)
3.0373279200e-01, -2.4186018982e-04, 1.9876510145e+00
3.0714552000e-01, -1.0627190159e-03, 1.9905020331e+00
3.1055824800e-01, -4.8372037963e-04, 1.9890948465e+00
3.1397097600e-01, -4.2508760635e-04, 1.9894173268e+00
3.1738370400e-01, -1.2899210124e-03, 1.9874164834e+00
3.2079643200e-01, -9.1613708264e-04, 1.9884132405e+00
3.2420916000e-01, -1.0114153392e-03, 1.9901575656e+00
3.2762188800e-01, -5.9365682955e-04, 1.9884352278e+00
3.3103461600e-01, 4.6173308965e-04, 1.9870500286e+00
3.3444734400e-01, -8.5017521269e-04, 1.9860092968e+00
3.3786007200e-01, -8.5750430935e-04, 1.9885451643e+00
3.4127280000e-01, -6.0831502287e-04, 1.9893586940e+00
3.4468552800e-01, 2.7117657646e-04, 1.9892780740e+00
3.4809825600e-01, 5.9365682955e-04, 1.9886990753e+00
3.5151098400e-01, 1.9055651319e-04, 1.9872699015e+00
3.5492371200e-01, -7.1825147279e-04, 1.9894832887e+00
3.5833644000e-01, -2.7850567312e-04, 1.9899303636e+00
3.6174916800e-01, -1.1726554658e-04, 1.9894173268e+00
3.6516189600e-01, -4.6173308965e-04, 1.9895052760e+00
3.6857462400e-01, -1.1213517892e-03, 1.9866689155e+00
3.7198735200e-01, -1.7589831987e-03, 1.9896518579e+00
3.7540008000e-01, -1.6490467488e-03, 1.9891827957e+00
3.7881280800e-01, -6.5228960284e-04, 1.9875923817e+00
3.8222553600e-01, 1.0993644992e-03, 1.9873578506e+00
3.8563826400e-01, -1.0700481125e-03, 1.9861558788e+00
3.8905099200e-01, -1.1946427558e-03, 1.9889702519e+00
3.9246372000e-01, -1.3778701723e-03, 1.9878049255e+00
3.9587644800e-01, -1.0993644992e-04, 1.9880028111e+00
3.9928917600e-01, 3.8844212304e-04, 1.9862584861e+00
4.0270190400e-01, -3.8111302638e-04, 1.9865516500e+00
4.0611463200e-01, -1.9348815185e-03, 1.9885011897e+00
4.0952736000e-01, -1.7369959087e-03, 1.9883839242e+00
4.1294008800e-01, -9.0147888932e-04, 1.9873065470e+00
4.1635281600e-01, -6.8893508615e-04, 1.9865589791e+00
4.1976554400e-01, -1.2019718524e-03, 1.9858627149e+00
4.2317827200e-01, -1.2239591424e-03, 1.9886844171e+00
4.2659100000e-01, -1.3412246890e-03, 1.9873944961e+00
4.3000372800e-01, 2.1987289983e-05, 1.9871672941e+00
4.3341645600e-01, 3.0782205977e-04, 1.9859506641e+00
4.3682918400e-01, -1.4218447523e-03, 1.9866542574e+00
4.4024191200e-01, -1.9935142918e-03, 1.9881274058e+00
4.4365464000e-01, -8.0620063272e-04, 1.9868961175e+00
4.4706736800e-01, -3.3713844641e-04, 1.9873212051e+00
4.5048009600e-01, -5.7166953957e-04, 1.9857161330e+00
4.5389282400e-01, -2.1620835150e-03, 1.9869767376e+00
4.5730555200e-01, -1.8249450686e-03, 1.9889262773e+00
4.6071828000e-01, -9.0880798598e-04, 1.9868668012e+00
4.6413100800e-01, -1.1946427558e-03, 1.9862364988e+00
4.6754373600e-01, -1.5317812022e-03, 1.9854156400e+00
4.7095646400e-01, -8.5750430935e-04, 1.9880687730e+00
4.7436919200e-01, -1.7223377154e-03, 1.9899450218e+00
4.7778192000e-01, -1.7150086187e-03, 1.9872332560e+00
4.8119464800e-01, -9.0880798598e-04, 1.9871379777e+00
4.8460737600e-01, -5.8632773289e-04, 1.9858847022e+00
4.8802010400e-01, -1.1653263691e-03, 1.9884572151e+00
4.9143283200e-01, -7.9887153606e-04, 1.9892707449e+00
4.9484556000e-01, -6.8160598948e-04, 1.9878928747e+00
4.9825828800e-01, 9.0880798598e-04, 1.9874824453e+00
5.0167101600e-01, 8.0620063272e-04, 1.9863317771e+00
5.0508374400e-01, -6.9626418281e-04, 1.9889775810e+00
5.0849647200e-01, -2.1547544184e-03, 1.9890655302e+00
5.1190920000e-01, -9.0147888932e-04, 1.9883619369e+00
5.1532192800e-01, -5.8632773289e-05, 1.9884645442e+00
5.1873465600e-01, -9.5278256595e-05, 1.9874311416e+00
5.2214738400e-01, -9.0147888932e-04, 1.9899303636e+00
5.2556011200e-01, -1.2386173357e-03, 1.9895126050e+00
5.2897284000e-01, 3.3713844641e-04, 1.9888236700e+00
5.3238556800e-01, 6.1564411953e-04, 1.9876436854e+00
5.3579829600e-01, -1.9788560985e-04, 1.9874604580e+00
5.3921102400e-01, -1.1506681758e-03, 1.9903188057e+00
5.4262375200e-01, -8.0620063272e-04, 1.9888090118e+00
5.4603648000e-01, 2.4918928648e-04, 1.9883399496e+00
5.4944920800e-01, 3.6645483306e-04, 1.9878928747e+00
5.5286193600e-01, 8.7949159933e-05, 1.9888383282e+00
5.5627466400e-01, -4.1042941302e-04, 1.9911030190e+00
5.5968739200e-01, -3.2980934975e-04, 1.9882886459e+00
5.6310012000e-01, -4.3974579967e-04, 1.9880687730e+00
5.6651284800e-01, 1.1726554658e-04, 1.9868887884e+00
5.6992557600e-01, -7.9887153606e-04, 1.9882886459e+00
5.7333830400e-01, -1.8835778419e-03, 1.9895199341e+00
5.7675103200e-01, -1.0114153392e-03, 1.9881860386e+00
5.8016376000e-01, 3.2248025309e-04, 1.9881713804e+00
5.8357648800e-01, 4.6173308965e-04, 1.9857747658e+00
5.8698921600e-01, 1.4658193322e-04, 1.9882153549e+00
5.9040194400e-01, -3.5912573640e-04, 1.9898350853e+00
5.9381467200e-01, 4.7639128297e-04, 1.9889555937e+00
5.9722740000e-01, 6.8893508615e-04, 1.9888969609e+00
6.0064012800e-01, 8.4284611603e-04, 1.9867422065e+00
6.0405285600e-01, 1.4658193322e-05, 1.9876363563e+00
6.0746558400e-01, 7.3290966611e-05, 1.9897984398e+00
6.1087831200e-01, 1.3192373990e-04, 1.9883619369e+00
6.1429104000e-01, 1.7369959087e-03, 1.9878635583e+00
6.1770376800e-01, 1.6197303621e-03, 1.9877829382e+00
6.2111649600e-01, 2.8583476978e-04, 1.9904214130e+00
6.2452922400e-01, 5.4968224958e-04, 1.9904140839e+00
6.2794195200e-01, 6.4496050618e-04, 1.9885524934e+00
6.3135468000e-01, 1.2386173357e-03, 1.9883252914e+00
6.3476740800e-01, 1.3265664957e-03, 1.9862145116e+00
6.3818013600e-01, 3.6645483306e-04, 1.9893440358e+00
6.4159286400e-01, -4.7639128297e-04, 1.9900916037e+00
6.4500559200e-01, 1.2679337224e-03, 1.9888749736e+00
6.4841832000e-01, 9.6011166261e-04, 1.9892414285e+00
6.5183104800e-01, -8.0620063272e-05, 1.9875703944e+00
6.5524377600e-01, -6.1564411953e-04, 1.9901282492e+00
